index,show/id,show/cache_time,show/canonical_name,show/clips_count,show/description,show/episodes_count,show/feature_films_count,show/film_clips_count,show/genre,show/genres,show/is_movie,show/is_showtime_only,show/is_subscriber_only,show/link_description,show/name,show/rating,show/seasons_count,show/series_id,show/thumbnail_url,show/key_art_url,show/type,show/videos_count,show/availability/0,show/availability/1,show/availability/2,show/is_coppa,show/is_web_only,show/available_package_ids,show/company/id,show/company/channel_id,show/company/name,show/company/short_name,show/company/canonical_name,show/company/key_art_url,show/company/network_logo_url,show/company/has_logo_url
20,11226,2017-08-10T14:40:14+00:00,nashville,426,"A legendary queen of country music struggles to maintain her place in the spotlight while dealing with an ambitious rising pop-country vixen who wants to knock her off the throne. From executive producer Callie Khouri (writer of Thelma & Louise) comes this contemporary musical drama about love, power, money, family and music. ",107,0,0,Drama,Drama|Music~Musicals,False,False,False,,Nashville,4.424495117,5,50008475,https://ib2.hulu.com/show/11226?size=476x268&region=US,https://ib2.hulu.com/show_key_art/11226?size=1600x600&region=US,show,533,web,living_room,mobile,False,False,"1,2,14",390,50000125,CMT,CMT,cmt,https://ib1.hulu.com/company_key_art/390?size=1600x600&region=US,https://ib1.hulu.com/company_logo/390?bg=dim&color=0&format=png&region=US,True
21,22278,2017-08-10T14:46:00+00:00,regular-show,220,"Mordecai – a sarcastic blue jay, and Rigby – a somewhat responsible raccoon, are best friends. They even work together at a park owned by Pops, a big lollipop-headed guy. Which seems normal enough. They’ve got a cranky gumball machine for a boss and they work alongside a Zen-like yeti named Skips. Yep. Everything is as regular as can be.",217,0,0,Kids,Kids|Animation and Cartoons|Teen,False,False,False,,Regular Show,4.061273937,7,50020482,https://ib1.hulu.com/show/22278?size=476x268&region=US,https://ib1.hulu.com/show_key_art/22278?size=1600x600&region=US,show,437,web,living_room,mobile,True,False,"1,2,14",855,50000651,Cartoon Network,Cartoon Network,cartoon-network,https://ib2.hulu.com/company_key_art/855?size=1600x600&region=US,,False
22,7555,2017-08-10T15:52:49+00:00,once-upon-a-time,135,"From the inventive minds of Lost executive producers Adam Horowitz and Edward Kitsis comes a bold new imagining of the world, where fairy tales and the modern day are about to collide.",22,0,0,Drama,Drama|Science Fiction~Science Fiction - Thriller|Teen|Family,False,False,False,,Once Upon a Time,4.715775889,1,50004389,https://ib4.hulu.com/show/7555?size=476x268&region=US,https://ib4.hulu.com/show_key_art/7555?size=1600x600&region=US,show,157,web,living_room,mobile,False,False,"1,2,14",231,282,ABC,ABC,abc,https://ib.hulu.com/company_key_art/231?size=1600x600&region=US,https://ib.hulu.com/company_logo/231?bg=dim&color=0&format=png&region=US,True
23,22881,2017-08-10T15:08:06+00:00,rick-and-morty,21,"Rick and Morty is a show about a sociopathic scientist who drags his unintelligent grandson on insanely dangerous adventures across the universe. Created and executive produced by Dan Harmon (Community, Channel 101) and Justin Roiland (House of Cosbys).",21,0,0,Animation and Cartoons,Animation and Cartoons~Primetime Animation|Teen,False,False,False,,Rick and Morty,4.772879511,2,50020410,https://ib1.hulu.com/show/22881?size=476x268&region=US,https://ib1.hulu.com/show_key_art/22881?size=1600x600&region=US,show,42,web,living_room,mobile,False,False,"1,2,14",856,50000660,Adult Swim,Adult Swim,adult-swim,https://ib3.hulu.com/company_key_art/856?size=1600x600&region=US,,False
24,6341,2017-08-10T14:38:38+00:00,workaholics,69,"College is over but the party isn’t. Join three best buds as they share a job, a crash pad and a promise to never let work get in the way of a good time—on this raucously original series.",86,0,0,Comedy,Comedy,False,False,False,,Workaholics,4.577148191,7,50003271,https://ib1.hulu.com/show/6341?size=476x268&region=US,https://ib1.hulu.com/show_key_art/6341?size=1600x600&region=US,show,155,web,living_room,mobile,False,False,"1,2,14",99,129,Comedy Central,Comedy Central,comedy-central,https://ib4.hulu.com/company_key_art/99?size=1600x600&region=US,https://ib4.hulu.com/company_logo/99?bg=dim&color=0&format=png&region=US,True
25,1318,2017-08-10T15:31:01+00:00,bleach,0,"For as long as he can remember, Ichigo Kurosaki has been able to see ghosts. But when he meets Rukia, a Soul Reaper who battles evil spirits known as Hollows, he finds his life is changed forever when Rukia transfers most of her powers to him. Now a Soul Reaper himself with a new found wealth of spiritual energy, Ichigo discovers his true calling: to protect the living and the dead from evil. But when Rukia's actions are called under scrutiny, Ichigo and his friends must put everything on the line to prepare to save their friend from the harsh justice of the Soul Society.",732,0,0,Anime,Anime~Anime - Supernatural and Horror|International~Japanese|Teen,False,False,False,,Bleach,4.421983759,26,10374,https://ib.hulu.com/show/1318?size=476x268&region=US,https://ib.hulu.com/show_key_art/1318?size=1600x600&region=US,show,732,web,living_room,mobile,False,False,"1,2,14",960,50000741,Viz Media,Viz Media,viz-media,https://ib4.hulu.com/company_key_art/960?size=1600x600&region=US,,False
26,2138,2017-08-10T14:10:34+00:00,one-piece,4,"Monkey D. Luffy refuses to let anyone or anything stand in the way of his quest to become king of all pirates. With a course charted for the treacherous waters of the Grand Line, this is one captain who’ll never drop anchor until he’s claimed the greatest treasure on Earth – the Legendary One Piece!",747,0,0,Anime,Anime|International~Japanese,False,False,False,,One Piece,4.146686059,11,11787,https://ib1.hulu.com/show/2138?size=476x268&region=US,https://ib1.hulu.com/show_key_art/2138?size=1600x600&region=US,show,751,web,living_room,mobile,False,False,"1,2,14",222,268,Toei Animation,Toei Animation,toei-animation,https://ib.hulu.com/company_key_art/222?size=1600x600&region=US,,False
27,6290,2017-08-10T14:42:28+00:00,the-voice,1024,"Four famous musician coaches will each select singers to mentor into artists during the blind auditions. Once they have their teams, the star coaches will bring in their personal songwriters, producers, and high-powered friends to help their teams evolve. Ultimately, America will decide which singer will be worthy of the grand prize.",0,0,0,Reality and Game Shows,Reality and Game Shows~Competition|Music|Teen|Family,False,False,False,,The Voice,4.1234969,0,50003167,https://ib4.hulu.com/show/6290?size=476x268&region=US,https://ib4.hulu.com/show_key_art/6290?size=1600x600&region=US,show,1024,web,living_room,mobile,False,False,"1,2,14",2,24,NBC,NBC,nbc,https://ib.hulu.com/company_key_art/2?size=1600x600&region=US,https://ib.hulu.com/company_logo/2?bg=dim&color=0&format=png&region=US,True
28,22638,2017-08-10T15:57:42+00:00,doc-mcstuffins,0,"A magical animated series about a six-year-old girl, Doc McStuffins, who has the ability to talk to and heal toys and stuffed animals! With the help of her stuffed animal friends, Doc runs a clinic for toys out of her playhouse. The series emphasizes the importance of lending a helping hand, or paw, when people and toys need it most.",92,0,0,Animation and Cartoons,Animation and Cartoons|Kids,False,False,False,,Doc McStuffins,3.503616156,3,50020770,https://ib1.hulu.com/show/22638?size=476x268&region=US,https://ib1.hulu.com/show_key_art/22638?size=1600x600&region=US,show,92,web,living_room,mobile,True,False,"2,14",873,50000672,Disney Junior,Disney Junior,disney-junior,https://ib2.hulu.com/company_key_art/873?size=1600x600&region=US,,False
29,148,2017-08-10T15:03:40+00:00,hells-kitchen,1,An unscripted culinary boot camp that features the drama of aspiring restaurateurs competing for world-renowned Chef Gordon Ramsay’s approval and the chance to become America’s next culinary star.,0,0,0,Reality and Game Shows,Reality and Game Shows~Competition|Food~Cooking Competitions|Family,False,False,False,"For insider news, photos, and more visit the official <a href=""http://www.fox.com/hellskitchen/"" target=""_blank"">Hell's Kitchen website</a>",Hell's Kitchen,4.05219787,0,15,https://ib2.hulu.com/show/148?size=476x268&region=US,https://ib2.hulu.com/show_key_art/148?size=1600x600&region=US,show,1,web,living_room,mobile,False,False,"1,2,14",8,2,FOX,FOX,fox,https://ib1.hulu.com/company_key_art/8?size=1600x600&region=US,https://ib1.hulu.com/company_logo/8?bg=dim&color=0&format=png&region=US,True
